rank,label,headline,score_mu,score_sigma,score_95ci
1,C0,Pittsburgh Water pauses Four Mile Run and three other flood mitigation projects due to funding shortfalls.,42.57,3.36,6.59
2,C21,Council holds public hearing on bill to reduce minimum lot sizes for residential development.,42.34,2.26,4.44
3,C20,"Council schedules meeting on police, EMS and fire equipment after ambulance breaks down responding to emergency call.",41.43,2.23,4.37
4,C25,Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,39.6,2.23,4.37
5,C24,"Council approves $40,000 contract with law firm for immigration legal services.",38.5,2.2,4.31
6,C13,"Council approves $37,000 grant to help police investigate old sexual assault cases and improve interview rooms.",37.43,2.15,4.21
7,C19,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city properties.",36.87,2.17,4.24
8,C27,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,34.91,2.18,4.27
9,C12,City Council approves sale of 14 vacant lots in 12th Ward to Larimer Consensus Group to settle court cases.,34.16,2.1,4.11
10,C14,"Council approves application for $250,000 state grant to fix Emerald View Trail with city matching funds.",33.23,2.13,4.17
11,C16,Council expands residential permit parking program to more South Side Flats streets.,31.36,2.1,4.12
12,C29,Council approves transferring city property at 219 Reifert Street to Pittsburgh Land Bank for $1.,29.48,2.13,4.18
13,C8,Council introduces ordinance allowing residents to plant and maintain native gardens and natural landscapes on their property.,29.46,2.08,4.07
14,C18,Council approves sewage plan revision for South Side townhome development at no cost to the City.,28.21,2.14,4.19
15,C5,"Council refers resolution to authorize $750,000 annual contracts with five vendors for special events services.",27.65,2.04,4.01
16,C6,Council authorizes temporary construction easements on city property for Smithfield Street repair project.,27.0,2.06,4.04
17,C7,Council refers resolution allowing Riverlife to use city dock for public river barge programming to committee.,25.34,2.07,4.05
18,C26,Council approves agreement for University of Pittsburgh to pay for extra trash pickup in Oakland during student move-in and move-out periods.,24.33,2.12,4.16
19,C2,Council considers sewage plan revision for Hermitage Street development at no cost to city.,23.07,2.15,4.22
20,C15,Council passes ordinance clarifying rules for posting residential parking permit signs.,22.91,2.21,4.34
21,C17,Council approves sewage plan revision for Walnut McKee Apartments development at 296 McKee Place.,21.48,2.27,4.44
22,C9,Council designates Donny's Place on Herron Avenue as historic structure despite owner opposition.,20.52,2.25,4.42
23,C11,Council cancels sale of 136 Bodkin Street property and orders refund of hand money.,18.44,2.32,4.54
24,C23,"Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks.",17.46,2.38,4.66
25,C28,Council approves agreement allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,17.03,2.31,4.53
26,C1,Council introduces resolution allowing Team Pittsburgh to live-stream hockey games at Marmaduke Park at no cost to the city.,14.15,2.5,4.9
27,C22,"Council holds resolution to sell city-owned property on Itin Street for $3,755.",13.03,2.52,4.95
28,C3,"Council transfers $10,000 from salaries to City Clerk's office for professional services.",12.18,2.63,5.15
29,C10,Council refers resolution to loan city-owned Stephen Foster statue to Museum of Contemporary Art at no cost.,10.42,2.86,5.61
30,C4,"Council approves payment of $6,158 to New Pittsburgh Courier for legal advertisements related to city property title actions.",8.57,3.17,6.22
