rank,label,headline,score_mu,score_sigma,score_95ci
1,C18,"City Council approves accepting $316,367 settlement for damaged Finland Street Pedestrian Bridge.",29.74,1.67,3.28
2,C1,"City Council introduces resolution to pay $72,500 in overdue fees to state utility commission for damage prevention calls.",29.61,1.63,3.2
3,C24,Council recommends increasing Liberty Avenue highway safety project funding by $5.4 million to $12.9 million total.,29.17,1.75,3.43
4,C14,"Council approves $125,000 in state grant funds to buy recycling vehicles for Public Works.",28.93,1.68,3.3
5,C26,Council approves amended zoning changes for Bakery Square expansion with affordable housing requirements and schedules public hearing.,28.73,1.69,3.32
6,C10,Council approves 56 additional professional services contracts for city departments worth up to $1.5 million each annually.,28.55,1.63,3.19
7,C25,"Council approves additional $317,588 for South Negley Avenue Bridge Project contract with WSP USA.",28.13,1.6,3.13
8,C28,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase.",27.76,1.59,3.11
9,C23,"Council recommends accepting reduced $250,000 state grant for Smallman Street Complete Street Project.",27.62,1.58,3.1
10,C22,"Council approves $32,750 contract for company to create police recruitment videos using grant money.",27.57,1.67,3.28
11,C16,Council approves agreement with Pittsburgh Downtown Partnership to improve Market Square at no cost to the City.,27.02,1.54,3.02
12,C2,Council repeals 2019 resolution that gave city property in 15th Ward to Urban Redevelopment Authority.,25.73,1.56,3.05
13,C15,"Council approves $17,204 payment to renew Pittsburgh's membership in flood control authority for 2025.",25.46,1.57,3.07
14,C20,Council approves over $1 million in additional federal funding for Liberty Avenue road project.,25.01,1.67,3.27
15,C12,"Council approves $35,025 for portable restroom rentals and servicing in city parks.",24.7,1.59,3.11
16,C17,Council approves post-agenda meetings to discuss Oakland Business Improvement District and Affordable Housing Bond.,24.64,1.54,3.01
17,C29,"Council approves increased funding for Haverhill Project, raising city's reimbursement to Pittsburgh Water to nearly $993,000.",24.57,1.6,3.14
18,C30,Council approves agreement allowing Pittsburgh and PennDOT to share equipment and services at no cost.,24.34,1.56,3.06
19,C8,"Council moves $33,292 from salaries to employee benefits for tuition reimbursement program.",24.26,1.6,3.13
20,C27,Council holds resolution for Pittsburgh Regional Transit agreement on new Downing Street steps for six weeks.,24.25,1.53,2.99
21,C6,"Council reduces Penn Avenue lighting project grant from $461,856 to $450,000 and authorizes spending.",23.05,1.57,3.09
22,C19,Council approves three-year agreement with USI Insurance Services to broker city insurance policies at no direct cost.,22.94,1.62,3.17
23,C21,"Council holds resolution to sell city-owned property on Itin Street for $3,755 until April.",22.76,1.66,3.26
24,C7,"Council refers resolution to increase Fort Pitt Park design contract by $115,170 to committee.",22.71,1.57,3.08
25,C9,City accepts $500 donation from Pittsburgh Cultural Trust to buy smoke detectors for residents.,22.03,1.57,3.08
26,C5,"Council approves sale of North Aiken Avenue property from redevelopment authority to Pittsburgh Land Bank for $48,500.",21.83,1.7,3.34
27,C0,"Council considers $52,962 payment for Pennsylvania Municipal League membership subscription.",21.74,1.64,3.21
28,C4,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",21.1,1.7,3.34
29,C11,"Council approves $13,500 purchase of diagnostic tool to repair city vehicles.",20.13,1.69,3.31
30,C13,"Council approves $11,424 contract with Cycom Data Systems to maintain Law Department's case management software.",19.68,1.67,3.26
31,C3,"Council approves sale of two Hill District lots to Pittsburgh Land Bank for $16,290.",19.36,1.73,3.38
