rank,label,headline,score_mu,score_sigma,score_95ci
1,C23,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,43.49,2.64,5.18
2,C5,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,41.78,2.73,5.36
3,C10,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,40.18,2.48,4.87
4,C18,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",38.76,2.41,4.73
5,C17,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,36.25,2.3,4.51
6,C26,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",36.14,2.31,4.53
7,C15,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,36.12,2.32,4.55
8,C14,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,32.65,2.19,4.28
9,C3,"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",32.12,2.26,4.43
10,C20,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,30.21,2.17,4.25
11,C6,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",29.3,2.23,4.38
12,C4,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,29.05,2.28,4.47
13,C22,Council approves expansion of residential permit parking program in South Side Flats.,26.96,2.15,4.21
14,C25,Council approves sewage plan revision for South Side townhome development at no cost to the city.,25.44,2.12,4.16
15,C2,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,24.66,2.24,4.39
16,C24,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,24.47,2.17,4.25
17,C13,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",24.26,2.1,4.11
18,C19,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",22.45,2.12,4.15
19,C21,Council committee approves changes to residential parking permit signage rules.,22.41,2.14,4.19
20,C1,Council refers resolution to expand South Side Flats residential permit parking area to committee.,22.24,2.39,4.69
21,C9,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",20.16,2.41,4.72
22,C11,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",19.0,2.37,4.65
23,C7,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",15.12,2.67,5.23
24,C12,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",14.0,2.78,5.46
25,C0,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,12.28,3.01,5.89
26,C8,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",9.87,3.27,6.41
27,C16,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",7.36,3.46,6.79
