rank,label,headline,score_mu,score_sigma,score_95ci
1,G23,City Council places a five-week hold on a $1.5 million contract with Auberle for shelter services.,41.3,2.61,5.12
2,G18,"City approves a $37,000 grant to investigate old sexual assault cases and create a new interview room for victims.",41.21,2.71,5.31
3,G17,City to transfer 14 properties to the Larimer Consensus Group in a lawsuit settlement.,39.97,2.54,4.97
4,G5,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,39.27,2.74,5.37
5,G3,"Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.",36.08,2.53,4.96
6,G14,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,34.02,2.34,4.58
7,G15,Council approves a public hearing to gather resident ideas on the city's trash problem.,32.95,2.3,4.52
8,G26,"City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.",31.49,2.13,4.18
9,G10,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,30.33,2.19,4.29
10,G21,A city committee recommends allowing residential parking permit signs in some non-residential areas.,29.0,2.2,4.32
11,G6,"Council accepts a $450,000 state grant for the Penn Avenue lighting project.",28.76,2.22,4.36
12,G13,City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,28.07,2.09,4.1
13,G11,Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,26.96,2.2,4.31
14,G9,"City to pay $72,500 for overdue 811 utility call debts.",25.27,2.24,4.39
15,G2,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,24.67,2.3,4.5
16,G1,Legislation introduced to expand residential permit parking in the South Side Flats.,24.66,2.37,4.65
17,G22,Council approves expanding the residential permit parking area in the South Side Flats.,24.5,2.19,4.29
18,G4,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,22.47,2.33,4.57
19,G19,A committee recommends a grant application for the Emerald View Trail following a discussion on improving public input for city projects.,22.3,2.17,4.26
20,G7,"Council approves an additional $115,170 for design work on Fort Pitt Park improvements.",19.67,2.44,4.79
21,G24,Council committee recommends approval of a sewer plan for a new apartment building on McKee Place.,17.06,2.47,4.84
22,G25,Council recommends a sewage plan update for a new townhome development on the South Side.,15.54,2.5,4.9
23,G0,Council introduces legislation to clarify rules for posting residential parking permit signs.,15.41,2.8,5.5
24,G20,Proposal for University of Pittsburgh to help with Oakland trash pickup delayed for one week.,12.54,2.69,5.28
25,G16,Council committee recommends canceling a property sale and refunding the buyer's hand money.,9.01,2.9,5.68
26,G12,"City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",8.59,2.91,5.7
27,G8,"City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.",8.5,3.05,5.98
