segment,matched_agenda_segment
"Good morning and welcome to the regular meeting of City Council on Tuesday, April 1st 2025.",-1
"Will the clerk please take the roll? Mr Sharlin Here, Mr Coghill Here, Ms Gross Here, Mr Mosley Here, Mrs Kale-Smith, Mrs Strasburger Here, Mrs Warwick Mr Wilson, Mr LaValle, President Here, Five members present.",-1
"Thank you, Please rise for the Pledge of Allegiance. Remain standing for a moment of silence. I pledge allegiance to the flag of the United States of America and to the republic for which it stands: one nation under God. one nation under God, indivisible, with liberty and justice for all. Thank you very much.",-1
"Our next order of business is to amend the agenda. Is there a motion to amend So moved? Second, All those in favor say aye, Aye. The agenda has been amended.",-1
"Our next order of business is proclamations, and we have one today. So will all the wonderful women of Delta, Sigma, Theta, Sorority Incorporated please come forward. Yes, bone injury site Area. Come to the left hereabugeesalawebs dinner. Mr Hitler, Mr, Yes, It will be tight, but you can all fit. Ms Oliver, Is everybody in a red? all in favor? Let's go withteri. everyone already can come forward if they want to come on. everybody, we can come down here. it's cramzing morning, ladies, you all look so sharp. can we have the committee up front? committee up front. there you go, you're good. before reading the proclamation, what i'll simply say is one: as i watched you all come forward, i did not realize how many deltas actually knew, so i want to thank you all for all the wonderful work that you all do here within our city. i want to thank you for your commitment to our city and we want to take a moment to recognize your organization, as well as delta days. whereas the city of pittsburgh takes great pride in recognizing and celebrating the distinguished legacy and ongoing impact of the pittsburgh alumni chapter of delta sigma theta sorority incorporated and its members as they commemorate delta days in pittsburgh 2025. whereas delta sigma theta sorority incorporated was founded on january 13 1913 by 22 visionary collegiate women of african descent at howard university, who committed themselves to the principles of scholarship, sisterhood and service. whereas for more than a century, delta sigma theta sorority incorporated has remained at the forefront of social change, guided by its five-point programmatic thrust, which focuses on economic development, educational development, international awareness and involvement, physical and mental health and social action. whereas the pittsburgh alumni chapter, charted in 1927, has, for nearly a century, demonstrated, through its members, unwavering dedication to advancing the public good, meeting the involving needs of the community through innovative programming, bold advocacy and a steadfast commitment to social justice. whereas delta sigma days in pittsburgh serves as an extension of a nationally recognized tradition that engages delta members in meaningful dialogue with civic leaders at every level of government, including the united states capital, state legislators and the united nations, and reflects delta sigma theta sorority incorporated its continued mission to promote leadership, advocacy and empowerment to affect social change and policies. whereas delta sigma theta sorority incorporated boasts an international membership exceeding 350 000 women of distinction, with more than 275 members belonging to the pittsburgh alumni chapter. these members have made notable contributions to career development, esasbourne tra coded, to civic life, education, health, equity and social impact in Pittsburgh, serving across sectors while exemplifying the highest standards of public service and community uplift. And now, therefore, be it resolved that the Council of the City of Pittsburgh does hereby declare April 1st 2025 to be Delta Sigma Theta Sorority Day in the City of Pittsburgh. May we have a motion So moved. Second, All those in favor say aye, Aye, It is approved, congratulations, Thank you. I believe let's see All right, here we go, Thank you. I'd like to say thank you to the City Council of Pittsburgh, City Council of Pittsburgh, for this incredible honor. Receiving this proclamation from the City of Pittsburgh is not just a reminder. a reminder of Delta, Sigma, Theta, Sorority and its acknowledgement of the collective efforts of our members and the communities we serve. This proclamation underscores the importance of civic engagement, empowerment and service, of all values that are at the heart of our organization. We will take this recognition as a source of motivation, reaffirming and a source of hope. Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you, Thank you. Hi, I'm Tracy. HonUSE me want to present to you is the City Council of Pittsburgh's and the City Council of Pittsburgh's- managed community capital and investment committee. Community capital is publisher and owner of Seniorizingz to the children, the families, the advising and any other five- appelle eight. that said it over. We are committed to 88 years of chief policy, eternally keeping risk and ül to promise with balance and integrity as best we can. Thank you So, so much. Thank you so very much once again for this meaningful recognition and for the support of our mission, service and advocacy. together we can continue to build a better Pittsburgh. I thank you. I'm gonna ask members to come up, but just want to remind us all that their purpose here today is actually to engage us, and so after our meeting, I believe at 12 and at 1, maybe, just do. okay, some of the members were actually going to stay to have a conversation with us back in our conference room about what's happening in our city and concerns they have and how we can collectively work together. so I just want to remind members of that. if we'd all be willing to come up for a picture, you hold it, Chris, hold on one second. nope, nope, they're still. they're still organizing. we gotta, we gotta. yeah, you can't see us, we can't see you there. we go, all right, look at me, keep smiling, smiling, you won't you? you, Yeah, Yeah, Oh man, I got like a smudge. Thank you, Strong group.",4
"That's a strong group, And we have two proclamations to be read into the record, both from Councilwoman Smith. Councilwoman Teresa Kale Smith presents.",-1
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Thursday, April 3rd 2025 to be Michelle Wednesday Day in the City of Pittsburgh, And she also presents: be it further resolved that the Council of the City of Pittsburgh does hereby declare Wednesday, April 2nd 2025, to be Shamika Zire Day in the City of Pittsburgh. May we have a motion to approve So moved. Second, All those in favor say aye, Aye, Any opposed. Both proclamations have been approved.",5
"we'll turn to the presentation of the papers, beginning with Councilman Sharland, Chair of Human Resources: No new papers, Mr President, Thank you.",-1
"Councilman Calkins, Chair of Public Safety and Wellness: No new papers, Mr President, Thank you.",-1
"Councilwoman Gross, Chair of Innovation, Performing Asset Management and Technology: No new papers, Mr President, Thank you.",-1
"Councilwoman Kale Smith, Chair of Recreation, Youth and Senior Services: Oh, sorry.",-1
"Councilman Mosley, Chair of Intergovernmental Educational Affairs. Thank you, Mr President. Thank you Back to the clerk.",-1
"Councilman Kihari-Mosley presents Bill 1681 Resolution authorizing the issuance of a warrant payable in favor of Pennsylvania Municipal League for one year subscription in an amount not to exceed 52,962. 24.",7
"Bill 1682 resolution providing for the issuance of a warrant in favor of the Pennsylvania Public Utility Commission in the amount of 72,500 for delinquent debts owed by the City of Pittsburgh for 800,000. 00.",8
"Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, authorizing the Urban Redevelopment Authority of Pittsburgh to acquire all the City's right, title and interest, if any, in and to the publicly owned property in the 15th Ward of the City of Pittsburgh designated in the Deed Registry Office of Allegheny County. Bill 1683 resolution replacing resolution 366 of 2019, effective June 14 2019, as block 56 B, lot 345, council district number 5, at no cost to the City.",9
"Bill 1684 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of block 10 J, lots 259 and 260 in the 5th Ward of the City of Pittsburgh and the citizens' property which amounts to 383,000. 00. 195,000. 00 cost, 153,000. 00 for the sale of block five 164 of the City, Aron Street, Council, District Number 6, at no cost to the city.",10
"In Bill 1685 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and Island Avenue Holdings LLC for the sale of Block 21D, Lot 42A in the 27th Ward of the City of Pittsburgh, Island Avenue, Council, District Number 2, at no cost to the city.",11
"In Bill 1686 resolution approving execution of a contract for disposition by sale of land between the Urban Redevelopment Authority of Pittsburgh and the Pittsburgh Land Bank for the sale of Block 83A, Lot 48 in the 11th Ward of the City of Pittsburgh, North Aiken Avenue, Council District Number 9, at no cost to the city.",12
