segment,matched_agenda_segment
"Good morning and welcome to the standing committee meeting for Wednesday, April 2nd 2025.",-1
"Would the clerk please take the roll. Mr Sharland Here. Mr Coghill Ms Gross, Mr Mosley Here. Mrs Killsmith Mrs Warwick Here. Mr Wilson Mrs Strasberger Here. Mr Lavelle Chair Here. Five members present, Thank you.",-1
"With that, we will turn to our standing committee agenda.",-1
"Members, before you is a letter from the mayor asking to rescind the appointment of Jesse Durenna, And so I want to take that bill first. So someone would please offer a motion to add bill 1346 back to our agenda. So move Second. Second, All those in favor say aye, Aye, Aye. And now, if someone would offer a motion to withdraw, Say: Do you want me to read it? Oh, sorry, I'm moving too fast. The clerk should read the bill. I apologize. Yes, Bill 2024. 1346 Resolution appointing Jesse Durenna as a member of the Commission on Infrastructure Asset Reporting and Investment, with a term to expire July 3rd 2027. All right, Now that the bill has been read, if someone would offer a motion to withdraw this appointment, So moved Second. All those in favor say aye, Aye, We will have been withdrawn.",0
"That will now take us to our finance and law committee, chaired by Councilman Schwarzberger.",-1
"We have one deferred paper, Bill 1572. Bill 1572 resolution authorizing the City of Pittsburgh to accept the sum of 316,367 in full and final settlement of litigation filed in the Allegheny County Court of Common Pleas involving the Finland Street Pedestrian Bridge. Motion to approve Second brief discussion. Brief discussion. Councilman Gross, Thank you. I appreciate the administration meeting with me over this bill. It was an executive session. I think I'm supportive today- but I just wanted to say on the record that my concerns around pedestrian safety on this section of Bigelow Boulevard- This is a settlement, so it's not really anything that we can do much about- right, We've settled with. you know we've settled with the. you know we've settled with the. you know we've settled with the. you know we've settled with the. I think the company that caused damage to the Finland Street Pedestrian Bridge that went over Bigelow so severely that it had to be taken down, But that leaves us without that pedestrian infrastructure there. And then, if you'll recall, this is a pedestrian bridge that's in between the pedestrian bridge at the Bigelow, at the Bloomfield Bridge on Bigelow, And then, as you're inbound, it's going to be the installation. then your next safe crossing is at Heron Avenue, which is actually not very safe and we're working on and it is real concern for the neighborhood, and there are bus stops on either side. So you may be living uphill from Bigelow and needing to cross, or you may be living below hill on Bigelow and needing to cross to get to Port Authority bus stops. And so my ask is for Delmay to really do an audit of pedestrian safety and give suggestions of things that can be done. So that is still to be worked out. So right now you are able to cross at Heron and you're able to cross at the Bloomfield Bridge. So with that, I just wanted to get that on the record and it is work that remains in front of us. But I'm supportive of this bill today, which is just receiving funds from a legal settlement. Any further discussion? If not, I'll simply note that your concerns about that stretch of Bigelow are well founded and very understood. You said it before. but it's also worth noting that there used to be an underpass at the Heron Avenue intersection where you could go under the street, and the state decided to close that with no alert to the city. They just decided to do it. So your concerns are well founded. All those in favor say aye, Aye. Any opposed Aye. Affirmative recommendation.",3
That moves us to the new papers.,-1
"bill 1660. Bill 1660 resolution authorizing the issuance of two warrants in the total sum of 32,000 over one year. It is further understood and agreed that the payment schedule of the total settlement amount shall be as follows: 16,000 payable to Scott Allen Beatty, 16,000 payable to Samuel J Cordes Esquire in full and final settlement of litigation filed in the United States District Court for the Western District Court of Pennsylvania. The bill is passed. Thank you, Any opposed Aye? Any opposed Aye Next bill.",4
"1660 resolution authorizing the mayor and the director of the Office of Management and Budget to enter into an agreement or agreements with USI Insurance Services for insurance brokerage services for all necessary policy types. This shall be a no cost payment to any insurance brokerage services for all necessary policy types. Motion agreement with a term of three years with two one-year options to extend. motion to approve brief discussion. second, I'm not sure I understand what this is. frankly, if it's a no cost, how can we have a no cost service? it's insurance brokerage. admittedly, I'm not. I apologize, I have not been briefed on this either. do we have anyone from the audience? Patrick Cornell, if you please come forward? sure, Jennifer, sorry I didn't see you over there I always. good morning, Patrick Cornell, chief financial officer. Jennifer Olesinger, chief procurement officer. so this is the end of an RFP for insurance brokerage services. it is a no-cost contract. that is because insurance policies are paid by the actual insurance providers as commissioned directly to the broker. so we will not pay this firm, but we will pay for the policies after the insurance broker is approved. so we will not pay this firm, but we will pay for the policies after the insurance broker has procured them on our behalf. curious standard for the industry and, and this is for all it says, all types of insurance policies. yes, when I just give us a really brief reminder of all of the types of insurance that we carry: we have a property coverage on our buildings. we have boat insurance. we have insurance for cameras that we have on property that is not ours, so if a camera falls and breaks or whatever on somebody else's property, it would cover any damage. we have a cybersecurity insurance. we have errors and emissions insurance for EMS and we have crime insurance for officers, elected officials. well, that was impressive and we proved our previous broker that that contract has expired. so we did a new RFP and we are actually we're switching brokers to a different. wonderful. what is the timeline that we expect to see you come back to the table for your so we good question? we wouldn't need to come back for those individual policies as they would just be routed through this, this broker, but the new policies would go into effect may 1. I do this all the time. I ask questions and then I start pulling on threads. I'm sorry, so I don't like these wide open, blanket kinds of papers. so that to requesting to enter into a brokerage is one thing, but that you've, if you've, embedded approval of the resulting policies in the same bill, that makes me cranky. so is that what's happening in front of us here? yes, the only thing I would add is that within OMB, City Council has approved the insurance premium payments in the current budget, and we're going to be able to get that back to you in the next couple of weeks. so I'm just going to go ahead and ask you a question and then I'll get back to you in a minute. so I'm going to go ahead and ask you a question and then I'll get back to you in a minute. so I'm going to go ahead and ask you a question and then I'll get back to you in a minute. so I'm going to go ahead and ask you a question and then I'll get back to you in a minute. so I'm going to in the regular budget process, not the same thing. we also have contract approval authority and so it having a sequence of events of contracts seems a little expiry- quiero tener unINKAL- tales a little- but is transparent. an it's our responsibility to protect and make sure there's transparency and things. I'm not going to belabor this today because I wasn't prepared. maybe I'm misunderstanding what I'm hearing, so I'll So I'll leave it there, but I will think about it before final vote. Appreciate it. That's all I have, Mr Chair, Thank you. Any further discussion Seeing none. all those in favor say aye, Aye. Any opposed. Any abstentions: Affirmative recommendation.",5
"That takes us to Bill 1662. Bill 1662 resolution amending resolution number 924 of 2024, effective December 18th 2024, entitled Resolution Adopting and Approving the 2025 Capital Budget that Proposed 2025 Community Development Program in the 2025 through 2030 Capital Improvement Program by increasing Liberty Avenue by 1,063,333. 30 to account for additional federal highway administration funding and the by the city of Pittsburgh. A motion. Motion to approve. Second: Any discussion Seeing none. all those in favor say aye, Aye. Any opposed: Affirmative recommendation.",6
