rank,label,headline,score_mu,score_sigma,score_95ci
1,G17,City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,43.05,3.26,6.4
2,G2,"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases.",39.65,2.99,5.86
3,G0,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,37.27,2.57,5.03
4,G7,City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.,35.82,2.52,4.94
5,G14,City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,35.46,2.38,4.66
6,G21,City Council authorizes an agreement with PennDOT to share road and bridge maintenance.,35.45,2.34,4.59
7,G20,"Council approves an additional $382,513 for the Haverhill stormwater and road project.",31.74,2.09,4.1
8,G3,Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,31.73,2.16,4.23
9,G26,"Pittsburgh to accept $450,000 state grant for enhanced lighting in the East Liberty business district.",29.59,2.01,3.94
10,G28,Council committee recommends granting Duquesne Light and Pittsburgh Water use of city land for new utility equipment.,28.56,1.93,3.78
11,G18,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project.",28.56,1.97,3.87
12,G16,"City Council accepts a $250,000 state grant for the Smallman Street project.",27.78,1.95,3.82
13,G19,"Council approves $93,000 for new vehicles and equipment for the Office of Community Health and Safety.",26.72,1.97,3.86
14,G8,"Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project.",25.24,1.88,3.68
15,G34,Urban Redevelopment Authority to sell North Aiken Avenue property to the Pittsburgh Land Bank.,25.12,1.91,3.74
16,G12,"City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge.",24.73,1.93,3.78
17,G32,Two Hill District lots recommended for transfer to the Pittsburgh Land Bank.,22.38,1.87,3.66
18,G1,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request.",21.4,2.06,4.03
19,G11,City Council receives the Mayor's annual Vision Zero memo.,21.23,1.85,3.63
20,G5,Council refers sewage plan for new South Side townhome development to committee.,20.21,1.87,3.66
21,G31,The Urban Redevelopment Authority will no longer acquire a city-owned property in the 15th Ward.,19.83,1.82,3.57
22,G27,"Council recommends an additional $115,170 for design work on Fort Pitt Park improvements.",19.11,1.88,3.68
23,G15,"City Council approves $32,750 contract for police recruitment videos.",18.22,1.86,3.64
24,G9,University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.,17.92,1.91,3.74
25,G30,"Council recommends paying a $72,500 debt for 811 damage prevention calls.",17.2,1.9,3.72
26,G6,"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.",17.0,1.97,3.86
27,G25,Proposed EMS student training partnership with the community college is held in committee.,15.4,1.88,3.68
28,G4,Council reviews a sewage plan update for a new apartment building on McKee Place.,12.6,2.12,4.15
29,G23,Council delays decision on sale of 23rd Ward property.,12.46,2.01,3.94
30,G29,"Council approves a nearly $53,000 payment for a one-year subscription to the Pennsylvania Municipal League.",12.45,1.97,3.86
31,G13,City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.,10.61,2.09,4.09
32,G22,Council delays vote on canceling a property sale for one week.,10.26,2.08,4.08
33,G33,"Council recommends selling a URA-owned lot on Island Avenue for $3,600.",9.06,2.19,4.29
34,G24,"Council places a two-week hold on a $33,292 tuition reimbursement for an employee.",8.18,2.23,4.36
35,G10,City Council receives a weekly status update from the Grants Office.,5.23,2.45,4.79
