sentence,classification
"Good morning and welcome to the standing committee's meeting for Wednesday, April 16- 2025.",b
"All council meetings will be will be live streamed on the city's website and, for those joining us at the table, please do not turn off your microphones.",i
Our first order of business is roll call.,b
Will the clerk please take the roll?,i
"Mr Sharland Here, Mr Coghill, Ms Gross Here, Mr Lavelle, Mr Mosley Here, Mrs Kale-Smith, Mrs Warwick, Mr Wilson, Mr Sharland, Ms Strasburg Or chair Here.",i
Four members present?,i
"Okay, Now we have Councilman Wilson joining remotely.",i
"Thank you, Hi, Erica.",i
"Hi, Chair, I'm here, Thank you.",i
"Thank you, Okay, Five members present.",i
"Thank you, Madam Clerk.",i
Our next order of business is public comment.,p
"I would like to remind all speakers that rules of council state that comments are limited to matters of concern, official action or deliberation which are or may be before City Council.",i
Profanity will not be permitted.,i
Please state your name and neighborhood for the record.,i
You will have three minutes to speak.,i
Our first registered speaker is Azasha Mennefield.,p
We don't see them online.,i
"We do not see Azasha Mennefield in the chamber, So we will now move on to those in the chambers wishing to speak.",i
Please approach the podium.,i
"Good morning, My name is Yvonne F Brown.",p
"I live at 715 Mercer Street, up at the top of the hill That's Crawford and Bedford- Red alert.",i
"My councilman is not here, but there are two of you sitting here looking at me.",i
I want you to please tell my councilman that you come down to Bedford.,i
You got one One side of the hill.,i
you go down One.,i
you're supposed to come up.,i
"Well, about 830 last night I happened to be looking down and I seen two cars going down Bedford at the same time.",i
One that's not supposed to go down there.,i
"There is a—the only reason why I'm bringing that up, because if you don't know about that area, you can get mixed up And I see where, if they just put even an arrow to point one down, you got to go this way.",i
There was two of them.,i
How about that?,i
"Actually, One of them was going down and one's supposed to be coming up.",i
They were going down at the same time.,i
That person on that left-hand side did not know it And we do need a sign.,i
"I wish you would—if one of you would go up there and actually look If you're coming down, you would not know it.",i
I know it because I live there.,i
But please- I've seen a couple cars go down there before.,i
"Also, I'm still upset about Corey.",i
Now this is Corey's.,i
He's running for mayor.,i
"I couldn't find the one of Ed Ganey, but it was dark like this.",i
See this blackness.,i
This is how they made dark—made- the mirror.,i
"I don't care for the mirror myself, but right, don't wrong nobody.",i
"They're trying to put fear into us that he's dark, sinister, something's wrong with him, Whereas with Corey they got him, Oh, his natural color.",i
But they made Ganey.,i
"See, you just play the race card and you say: we do.",i
I didn't think about that until I seen it.,i
I said how the mayor gets so black?,i
They made him that way.,i
He's not that color And I want you to understand.,i
we as black people see it.,i
"You just might pretend like: oh, we don't—we didn't do it.",i
But we see what's happening.,i
That man is not that dark.,i
How come he got all black just before it's time for him to run for election?,i
The same way with Petit Up in his—up in our area.,i
he got a big sign for Petit.,i
He got a big sign for Petit.,i
He got a big sign for Petit.,i
He got a big sign for Petit.,i
He got a big sign for Petit.,i
He got a big sign for Petit.,i
"For Petit, he's running.",i
"Well, let me tell you who else is running This man: Jeff Woolwolf, W-O-O-D-A-R-D.",i
Now someone- one of the residents in my building- told me he was in the building the same day that Lavelle and his man was in the building.,i
This man is running for Petit's job.,i
Now I have a problem with Petit Because of him.,i
"we have that actor, the bad actor that keeps coming.",i
"That bad actor, That bad actor, That bad actor, That bad actor, That bad actor, That bad actor.",i
"And he was coming in the building because the police said, not me, they're dropping the ball.",i
"He said Arbor and Petit, And he is dropping the ball.",i
And the reason why I'm saying that I've got one more.,i
"My time is up, But anyway, please help us, Please.",i
Thank you very much.,i
"Next speaker, please.",p
"Next speaker, please.",i
Thank you very much.,i
"Next speaker, please.",i
Good morning.,i
Special Agent Sunshine.,i
how's everybody?,i
Everybody's not here.,i
"God, you're amazing.",i
I know what you're doing in the background.,i
"Lord, please protect me from the voodoo, hexes, curses that may be sent towards me in this chamber.",i
I return them to send a 100 million billion trillion Google Plex And whoever's sending them.,i
throw them into a lake of fire.,i
"In Jesus' name, I pray Amen.",i
I'm going to start with the wisdom for today.,i
It comes from Proverbs 21: 13.,i
It says those who shut their ears to the cries of the poor will be ignored in their own time of need.,i
A lot of people being ignored.,i
It's not good.,i
God is very angry about it.,i
God blesses us so that we might bless others.,i
"My cup runneth over because I'm here to be a blessing, Not to get blessings.",i
You can't get one without being one.,i
It doesn't take an hour to preach that A woman of character loves herself above all others.,i
We love God and ourselves.,i
"But in this world that we live in today, we have misogynistic men who have a problem with women: Strong women, Independent women, Educated women, Saved, Celibate women.",i
They have a problem with us.,i
You know why?,i
Because God created us for them.,i
God created women for men.,i
"It'll never be the other way around, And misogynistic men have a real big problem with that.",i
"Well, if I'm the problem, I'm going to be the brightest, shiniest problem a misogynistic man will ever have, And the one I speak of today.",i
his name is James Engle.,i
"He's the man who runs the Northside Overflow Shelter, who is a misogynistic man.",i
He had a problem with me leaving and his employees helping me with my luggage.,i
He wouldn't let them do it.,i
"It was very, very ugly, And Maya Angelou once said: you never forget what people say, but you will always remember how they make you feel.",i
And the way he made me feel Was stronger.,i
You know why?,i
Because I moved everything that I had to move myself.,i
Because I praise God for my health and my strength In Jesus' name.,i
"I pray that he has the health and the strength that he's going to need for the karma that's coming for him, For how he treats people, Especially women.",i
Proverbs 31.,i
10 says an excellent wife who can find she is far more precious than jewels.,i
I'm not married yet.,i
"I'm kind of running from men, But God is stopping me at my trace.",i
Amen In Jesus' name.,i
Amen.,i
Thank you very much.,i
"Next speaker, please Are there any further speakers Seeing none.",p
we will now move on to our standing committee's agenda.,b
Our first committee is the Finance and Law Committee And we have one deferred paper: Bill 1634.,b
Bill 1634 resolution repealing an item in resolution number 512 of 2022.,i
"Effective date: September 23, 2022.",i
in order to rescind the sale.,i
Motion to approve discussion.,i
"Move a second, Oh, second Second With discussion, Councilman Coghill.",i
"Okay, thank you, Madam Chair.",i
I would like to.,i
"I guess let's just start with bringing To the table Mr Geiger and the others here that can answer any questions as far as this, Why I put this bill in.",i
"Director Gula, thank you, Yes, Good morning.",i
"I'm Jen Gula, the city treasurer and director of finance, David Geiger, legislative and policy director.",i
"Okay, thank you, Thank you both for being here.",i
"Sure, We spoke about this last week- I think was the last week- But now I've been struggling with this right.",i
"Okay, Just because it was brought to my attention.",i
I never.,i
"I don't know how processes work in certain departments in the city of Pittsburgh, But I just want to for other council members to know the kind of how it came to my attention, And then you could fill in the gaps and questions that we might have for you.",i
