agenda_segment,matched_legislation,true_headline,combined_segment,claude_headline,gemini_headline,openai_headline
"ROLL CALL
Present 8 - Council Member Wilson, Council Member Kail-Smith, Council Member
Charland, Council Member Coghill, Council Member Lavelle, Council Member
Warwick, Council Member Gross, and Council Member Strassburger
Absent 1 - Council Member Mosley",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"PUBLIC COMMENT
Yvonne F. Brown
Special Agent Sunshine
Herbert Flaherty Jr.",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"2025-1667 Resolution authorizing the issuance of a warrant in favor of Mohammed Burny for
tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND
TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 6/4/2025. The motion carried.","title
Resolution authorizing the issuance of a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year, charging and payable from 11101.101100.52.52602.2025.",NO_HEADLINE,"**Section of meeting agenda:**
2025-1667 Resolution authorizing the issuance of a warrant in favor of Mohammed Burny for
tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND
TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 6/4/2025. The motion carried.

**Section of meeting legislation:**
title

Resolution authorizing the issuance of a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year.

 

body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year, charging and payable from 11101.101100.52.52602.2025.



**Section of meeting transcript:**
We have a few deferred papers: Bill 1667. Bill 1667 Resolution. I'm sorry. I'm sorry, Madam Clerk. I've had a request to read some of the bills together and I just want to have that in front of me. If we can read Bill 1667, Bill 1667 and 1691 together, Thank you. Bill 1667: Resolution authorizing the issuance of a warrant in favor of Muhammad Bernie for tuition reimbursement for an amount not to exceed 33,292 over one year. And.
","Council committee holds resolution for $33,292 tuition reimbursement to Mohammed Burny.","A resolution for a $33,292 tuition reimbursement is held in committee.","Council holds resolution for $33,292 tuition reimbursement for Mohammed Burny"
"2025-1675 Resolution providing for the sale of certain property, in the 23rd Ward, in the First
(1st) Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at
tax sale.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 4/30/2025. The motion carried.","title
Resolution providing for the sale of certain property, in the 23rd Ward, in the First (1st) Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at tax sale.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The City Solicitor is hereby authorized to petition the Court of Common Pleas of Allegheny County for the sale of the following property, acquired at tax sale in accordance with Act No. 171 of 1984.  The advertisement of sale and deed to contain a stipulation that the property is being sold subject to all zoning, building and subdivision laws and ordinances, and the cost of the Court proceedings to be paid from Special Trust Fund, Three Taxing Bodies.  Any and All properties contained in this Resolution may be the subject of advertising for sale by the Finance Department.
  East Side Property c/o Linda Handley
PURCHASE PRICE: Three Thousand Seven Hundred Fifty-five Dollars and No Cents ($3,755.00)
Green Space & Parking - Residential
LOT: 22.60 X AVG 69.68
LOCATION: 0 Itin Street (COUNCIL DISTRICT: 1)
ACQUIRED: December 18, 2020 T/S# 106
WARD: 23 BLOCK & LOT: 24-F-44
COUNCIL DISTRICT: 1
  Section 2.                     Any Resolutions or Ordinances inconsistent with the provisions of this Resolution are hereby repealed to the extent of the conflict or inconsistency.",NO_HEADLINE,"**Section of meeting agenda:**
2025-1675 Resolution providing for the sale of certain property, in the 23rd Ward, in the First
(1st) Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at
tax sale.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 4/30/2025. The motion carried.

**Section of meeting legislation:**
title

Resolution providing for the sale of certain property, in the 23rd Ward, in the First (1st) Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at tax sale.

 

body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The City Solicitor is hereby authorized to petition the Court of Common Pleas of Allegheny County for the sale of the following property, acquired at tax sale in accordance with Act No. 171 of 1984.  The advertisement of sale and deed to contain a stipulation that the property is being sold subject to all zoning, building and subdivision laws and ordinances, and the cost of the Court proceedings to be paid from Special Trust Fund, Three Taxing Bodies.  Any and All properties contained in this Resolution may be the subject of advertising for sale by the Finance Department.

 

East Side Property c/o Linda Handley

PURCHASE PRICE: Three Thousand Seven Hundred Fifty-five Dollars and No Cents ($3,755.00)

Green Space & Parking - Residential

LOT: 22.60 X AVG 69.68

LOCATION: 0 Itin Street (COUNCIL DISTRICT: 1)

ACQUIRED: December 18, 2020 T/S# 106

WARD: 23 BLOCK & LOT: 24-F-44

COUNCIL DISTRICT: 1

 

Section 2.                     Any Resolutions or Ordinances inconsistent with the provisions of this Resolution are hereby repealed to the extent of the conflict or inconsistency.



**Section of meeting transcript:**
Bill 1675: Bill 1675 Resolution providing for the sale of certain property in the 23rd ward, First Council district. bill will be. bills will be held for six weeks. bill 1675 resolution providing for the sale of certain property in the 23rd ward, first council district, city of pittsburgh, acquired by the city of pittsburgh at tax sale. we should hold one week second discussion. seeing none. all those in favor of a one-week hold, please indicate by saying aye, aye. bill will be held for one week.
","Council holds resolution to sell city-owned property on Itin Street for $3,755.",Council holds proposed sale of Itin Street property for one week.,City Council holds resolution for sale of 23rd Ward property for one week
"2025-1691 Resolution transferring the amount of thirty-three thousand two hundred ninety-two
dollars ($33,292.00) within the 2025 Operating Budget from City Council Districts
Salaries & Wages, Regular to City Council Districts Employee Benefits for the
purpose of tuition reimbursement.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 6/4/2025. The motion carried.","title
Resolution transferring the amount of thirty-three thousand two hundred ninety-two dollars ($33,292.00) within the 2025 Operating Budget from City Council Districts Salaries & Wages, Regular to City Council Districts Employee Benefits for the purpose of tuition reimbursement.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Controller and the Office of Management and Budget are hereby authorized and directed to transfer a total of thirty-three thousand two hundred ninety-two dollars ($33,292.00)
  From:
City Council Districts Salaries & Wages, Regular, JDE Account Number 11101.101100.51.51101.2025, subledger D1
  To:
City Council Districts Employee Benefits, JDE Account Number 11101.101100.52.52602.2025",NO_HEADLINE,"**Section of meeting agenda:**
2025-1691 Resolution transferring the amount of thirty-three thousand two hundred ninety-two
dollars ($33,292.00) within the 2025 Operating Budget from City Council Districts
Salaries & Wages, Regular to City Council Districts Employee Benefits for the
purpose of tuition reimbursement.
SPONSOR /S: COUNCIL MEMBER WILSON
A motion was made that this matter be Held in the Committee on Finance and
Law , due back by 6/4/2025. The motion carried.

**Section of meeting legislation:**
title

Resolution transferring the amount of thirty-three thousand two hundred ninety-two dollars ($33,292.00) within the 2025 Operating Budget from City Council Districts Salaries & Wages, Regular to City Council Districts Employee Benefits for the purpose of tuition reimbursement.

 

body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Controller and the Office of Management and Budget are hereby authorized and directed to transfer a total of thirty-three thousand two hundred ninety-two dollars ($33,292.00)

 

From:

City Council Districts Salaries & Wages, Regular, JDE Account Number 11101.101100.51.51101.2025, subledger D1

 

To:

City Council Districts Employee Benefits, JDE Account Number 11101.101100.52.52602.2025



**Section of meeting transcript:**
Bill 1691 Resolution transferring the amount of 33,292 within the 2025 operating budget from city council districts salaries and wages to the city council district. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. The bill is now in effect. Resolution of a warrant for the purpose of tuition reimbursement to city council districts' salaries and wages regular to city council districts' employee benefits for the purpose of tuition reimbursement. A motion to hold six weeks A second, A second Discussion. Seeing none all those in favor of a six-week hold, please indicate by saying aye, Aye, Aye, Aye, Aye. Bill will be. bills will be held for six weeks.
","Council holds resolution to transfer $33,292 for employee tuition reimbursement for six weeks.","$33,292 transfer for council staff tuition reimbursement is held for six weeks.","City Council votes to hold $33,292 budget transfer for tuition reimbursement for six weeks"
"2025-1728 Resolution authorizing the Mayor and the City Solicitor to enter into a Professional
Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount
not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS
($40,000.00) over one year, for professional services in connection with immigration
matters.
(Executive Session held 4/15/25)
A motion was made that this matter be Affirmatively Recommended. The
motion carried.","Title
Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.
(Executive Session held 4/15/25)
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, charging and payable from 11101.108000.53.53517.2025.
  Section 2.                     Said Agreement or Agreements shall be in a from approved by the City Solicitor.","$40,000 Contract with Law Firm for “Immigration Matters” Authorized","**Section of meeting agenda:**
2025-1728 Resolution authorizing the Mayor and the City Solicitor to enter into a Professional
Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount
not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS
($40,000.00) over one year, for professional services in connection with immigration
matters.
(Executive Session held 4/15/25)
A motion was made that this matter be Affirmatively Recommended. The
motion carried.

**Section of meeting legislation:**
Title

Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.

(Executive Session held 4/15/25)

 

Body

Be it resolved by the Council of the City of Pittsburgh as follows:

 

Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, charging and payable from 11101.108000.53.53517.2025.

 

Section 2.                     Said Agreement or Agreements shall be in a from approved by the City Solicitor.



**Section of meeting transcript:**
new papers- bill 1728. bill 1728 resolution authorizing the mayor and the city solicitor to enter into a professional services agreement with fragelman, delray, barnson and lowey lp in an amount not to exceed forty thousand dollars over one year for professional services in connection with immigration matters. is there a motion? motion to approve. is there a second second discussion? seeing none, all those in favor of bill 1728 please indicate by saying aye, aye, affirmative recommendation.
","Council approves $40,000 contract with law firm for immigration legal services.","City approves $40,000 contract for immigration legal services.","Council approves $40,000 contract for immigration legal services with Fragomen firm"
"2025-1736 Ordinance amending the Pittsburgh Code at Title Six: Conduct, Article I: Regulated
Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of
Sick Time, so as to change the rate at which employees can accumulate paid sick
leave hours, and increase the maximum total amount of paid sick leave hours that can
be accumulated.
(Public Hearing scheduled for 5/28/25)
SPONSOR /S: COUNCIL MEMBER LAVELLE
A motion was made that this matter be Held for Cablecast Public Hearing.
The motion carried.","Title
Ordinance amending the Pittsburgh Code at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time, so as to change the rate at which employees can accumulate paid sick leave hours, and increase the maximum total amount of paid sick leave hours that can be accumulated.
(Public Hearing held 5/28/25)
  Body
The Council of the City of Pittsburgh hereby enacts as follows:
Section 1.                     The Pittsburgh Code is hereby amended at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time as follows:
  § 626.03 ACCRUAL OF SICK TIME.
(a)                     All employees shall have the right to sick time established herein.
(b)                                          All employees of employers with fifteen (15) or more employees shall accrue a minimum of one (1) hour of paid sick time for every thirty (30) hours worked in Pittsburgh unless the employer provides a faster accrual rate.
(1)                                          Employees of employers with fifteen (15) or more employees shall be permitted to accrue no more than seventy-two (72) hours of paid sick time in a calendar year, unless the employer designates a higher amount.
(a)                     At no point shall an employee of an employer with fifteen (15) or more employees be permitted
to have access to more than seventy-two (72) hours of paid sick time, unless the employer designates a higher amount.
(c)                                          All employees of employers with fewer than fifteen (15) employees shall accrue a minimum of one (1) hour of sick time for every thirty (30) hours worked in Pittsburgh, unless the employer provides a faster accrual rate.
  (1)                                          Employees of employers with fewer than fifteen (15) employees shall be permitted to accrue no more than forty-eight (48) hours of paid sick time, unless the employer designates a higher amount.
(a)                     At no point shall an employee of an employer with fewer than fifteen (15) employees be permitted to have access to more than forty-eight (48) hours of paid sick time, unless an employer designates a higher amount.
(d)                                          Employees who are exempt from overtime requirements under 29 U.S.C. § 213(a)(1) of the Federal Fair Labor Standards Act will be assumed to work forty (40) hours in each workweek for purposes of sick time accrual, unless their normal workweek is less than forty (40) hours, in which case sick time accrues based upon that normal workweek.
(e)                                          The accrual of sick time, as provided in this Chapter, shall begin on the effective date of this Chapter, as to an employee who is employed as of such effective date. All employees who become employed after such effective date shall begin to accrue paid sick time at the commencement of their employment.
(f)                                          All employees shall be entitled to use accrued sick time beginning on the ninetieth calendar day following the commencement of their employment.
(g)                     Accrued sick time shall be carried over to the following calendar year, except when:
(1)                                          An employer that employs fifteen (15) or more employees provides at least seventy-two (72) hours of paid sick time at the beginning of each calendar year; or
(2)                     An employer that employs fewer than fifteen (15) employees provides at least
forty-eight (48) hours of paid sick time at the beginning of each calendar year.
(h)                                          An employer is not obligated to provide financial or other reimbursement to an employee upon the employee's termination, resignation, retirement, or other separation from employment for unused sick time that has been accrued.
(i)                                          If an employee is transferred to a separate division, entity or location, but remains employed by the same employer, the employee is entitled to all sick time accrued at the prior division, entity or location and is entitled to use all sick time as provided in this Section.
(1)                                          When there is a separation from employment and the employee is rehired within six (6) months of separation by the same employer, previously accrued paid sick time that had not been used shall be reinstated.
(a)                     The employee shall be entitled to use accrued paid sick time and accrue additional paid sick time at the recommencement of employment.
(j)                                          At its discretion, the employer may loan sick time to the employee in advance of accrual by such employee.
(k)                                          When a different employer succeeds or takes the place of an existing employer, all employees of the original employer who remain employed by the successor employer are entitled to all earned sick time accrued when employed by the original employer and are entitled to use all earned sick time previously accrued.
(l)                                          Any employer with a paid leave policy, such as a paid time off policy, who makes available an amount of paid leave sufficient to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.
(m)                                          Any employer with a collective bargaining agreement that makes available a sufficient amount of paid leave to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.
  Section 2.
   (A) The amendments of this Ordinance shall take effect on January 1st, 2026.",NO_HEADLINE,"**Section of meeting agenda:**
2025-1736 Ordinance amending the Pittsburgh Code at Title Six: Conduct, Article I: Regulated
Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of
Sick Time, so as to change the rate at which employees can accumulate paid sick
leave hours, and increase the maximum total amount of paid sick leave hours that can
be accumulated.
(Public Hearing scheduled for 5/28/25)
SPONSOR /S: COUNCIL MEMBER LAVELLE
A motion was made that this matter be Held for Cablecast Public Hearing.
The motion carried.

**Section of meeting legislation:**
Title

Ordinance amending the Pittsburgh Code at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time, so as to change the rate at which employees can accumulate paid sick leave hours, and increase the maximum total amount of paid sick leave hours that can be accumulated.

(Public Hearing held 5/28/25)

 

Body

The Council of the City of Pittsburgh hereby enacts as follows:

Section 1.                     The Pittsburgh Code is hereby amended at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time as follows:

 

§ 626.03 ACCRUAL OF SICK TIME.

(a)                     All employees shall have the right to sick time established herein.

(b)                                          All employees of employers with fifteen (15) or more employees shall accrue a minimum of one (1) hour of paid sick time for every thirty (30) hours worked in Pittsburgh unless the employer provides a faster accrual rate.

(1)                                          Employees of employers with fifteen (15) or more employees shall be permitted to accrue no more than seventy-two (72) hours of paid sick time in a calendar year, unless the employer designates a higher amount.

(a)                     At no point shall an employee of an employer with fifteen (15) or more employees be permitted

to have access to more than seventy-two (72) hours of paid sick time, unless the employer designates a higher amount.

(c)                                          All employees of employers with fewer than fifteen (15) employees shall accrue a minimum of one (1) hour of sick time for every thirty (30) hours worked in Pittsburgh, unless the employer provides a faster accrual rate.

 

(1)                                          Employees of employers with fewer than fifteen (15) employees shall be permitted to accrue no more than forty-eight (48) hours of paid sick time, unless the employer designates a higher amount.

(a)                     At no point shall an employee of an employer with fewer than fifteen (15) employees be permitted to have access to more than forty-eight (48) hours of paid sick time, unless an employer designates a higher amount.

(d)                                          Employees who are exempt from overtime requirements under 29 U.S.C. § 213(a)(1) of the Federal Fair Labor Standards Act will be assumed to work forty (40) hours in each workweek for purposes of sick time accrual, unless their normal workweek is less than forty (40) hours, in which case sick time accrues based upon that normal workweek.

(e)                                          The accrual of sick time, as provided in this Chapter, shall begin on the effective date of this Chapter, as to an employee who is employed as of such effective date. All employees who become employed after such effective date shall begin to accrue paid sick time at the commencement of their employment.

(f)                                          All employees shall be entitled to use accrued sick time beginning on the ninetieth calendar day following the commencement of their employment.

(g)                     Accrued sick time shall be carried over to the following calendar year, except when:

(1)                                          An employer that employs fifteen (15) or more employees provides at least seventy-two (72) hours of paid sick time at the beginning of each calendar year; or

(2)                     An employer that employs fewer than fifteen (15) employees provides at least

forty-eight (48) hours of paid sick time at the beginning of each calendar year.

(h)                                          An employer is not obligated to provide financial or other reimbursement to an employee upon the employee's termination, resignation, retirement, or other separation from employment for unused sick time that has been accrued.

(i)                                          If an employee is transferred to a separate division, entity or location, but remains employed by the same employer, the employee is entitled to all sick time accrued at the prior division, entity or location and is entitled to use all sick time as provided in this Section.

(1)                                          When there is a separation from employment and the employee is rehired within six (6) months of separation by the same employer, previously accrued paid sick time that had not been used shall be reinstated.

(a)                     The employee shall be entitled to use accrued paid sick time and accrue additional paid sick time at the recommencement of employment.

(j)                                          At its discretion, the employer may loan sick time to the employee in advance of accrual by such employee.

(k)                                          When a different employer succeeds or takes the place of an existing employer, all employees of the original employer who remain employed by the successor employer are entitled to all earned sick time accrued when employed by the original employer and are entitled to use all earned sick time previously accrued.

(l)                                          Any employer with a paid leave policy, such as a paid time off policy, who makes available an amount of paid leave sufficient to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.

(m)                                          Any employer with a collective bargaining agreement that makes available a sufficient amount of paid leave to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.

 

Section 2.

 

 (A) The amendments of this Ordinance shall take effect on January 1st, 2026.



**Section of meeting transcript:**
bill 1736 ordinance amending the pittsburgh code, title six, conduct. article one, regulated rights and actions, chapter six, two, six. paid sick days act, section six, two, six oh three: accrual of sick time so as to change the rate at which employees can accumulate paid sick leave hours and increase the maximum total amount of paid sick leave hours that can be accumulated. motion to approve. second discussion is: would anyone like to defer to the bill? sponsor? i would. pathways, academic areas, financial aid programs. ambassador, i would like to call on those honored members today to the former manager of university accounting for the cost of schools, Tony R, a 17 resort project, as mentioned earlier, and will pursue by the comprehensiveettenção. they are cr jaws taxing the houses only earned by certain. I'm happy to move along and come back to this bill at the end of the meeting or when he's available to handle this, But I'm happy to take discussion in the meantime. Yep, Madam Chair, I just wanted to tell you I spoke to our president yesterday on this and, yeah, he informed me and I wished also that we were gonna hold this for a public hearing. But if we have to go back to it, that's whatever you decide. Sure, any further discussion on the bill in the meantime? Okay, we will resume discussion and take a final vote on the next steps on this bill when the council president is able to join us again.
That moves us back up to Bill 1736. We have a motion to approve and a second. I have been communicating with Council President Lavelle who I believe was having some trouble connecting. Council President, if you are able to speak up, please do, But the intention of the President was to hold Bill 1736 for a public hearing. Can we get a motion? Yes, Second. So we have a motion and a second to hold Bill 1736 for public hearing. All those in favor, please indicate by saying aye, Aye, The bill will be held for public hearing. Thank you very much. That exhausts our Standing Committee's agenda Meeting announcements.
",Council holds ordinance to increase paid sick leave accrual rates and maximum hours for public hearing.,Legislation to increase paid sick days for workers advances to a public hearing.,Council holds Bill 1736 on paid sick leave accrual rates for public hearing
"INVOICES FOR COUNCIL APPROVAL
The following departmental invoices not covered under a contract with the City
shall be paid by the City Controller after the invoices have been approved by City
Council at the April 23rd, 2025 Standing Committees meeting. A completed
standard form detailing the expenditures is attached to all of the below listed
invoices. No payments will be made to any of the below listed vendors prior the
approval of City Council.
CITY COUNCIL/ CITY CLERK
Marabello, Lori – reimbursement for event supplies and proc mailings (Dist. 2)
301.17
Pagan, Joyce – travel reimbursement (Dist. 3) 88.00
South Hills Memorial Day Parade Committee – sponsorship (Dist. 4) 250.00
Pittsburgh Parks Conservancy – donation for plaque at Frick (Dist. 5) 75.00
MAYOR'S OFFICE
Collier, Pamela – catering reimbursement for stakeholder's meeting 127.26
DEPT OF INNOVATION & PERFORMANCE
Compu-Site Technologies Inc – Data Center/NOC cleaning 2,935.00
Kaine, Marlaina – reimbursement for beverages for PGH Lab event 20.09
Rowden, Jacque – reimbursement for team lunch for new hires 89.51
CONTROLLER'S OFFICE
The Hunt Group – pension check paper 4,993.30
DEPT OF FINANCE
Coit Services – restoration carpet cleaning 750.00
The Master's Touch – specialty items for tax billing purposes 470.28
New Pittsburgh Courier – treasurers' sale advertising 4,584.20
OFFICE OF MUNICIPAL INVESTIGATIONS
Net Transcripts Inc – case interview transcriptions 751.17
PA State Police – criminal checks for police candidates 484.00
BUREAU OF EMERGENCY MEDICAL SERVICES
Harmony EMS – EMS coverage (Disturbed) 672.56
Kirwan Heights VFA EMS – EMS coverage (Pirates) 444.29
Municipal Emergency Services – Hurst eDraulic batteries 1,455.74
BUREAU OF POLICE
Golden Bone Pet Resort Inc – K9 boarding 1,980.00
Golden Bone Pet Resort Inc – K9 boarding 610.00
S&D Calibration Services – Accutrak certification 528.75
E-S Press – PMAP training for first responders (all bureaus) 4,900.00
Thick Bikes LLC – shift cable installation 79.49
Thick Bikes LLC – rim, tire, tune up 485.00
Witmer Associates Inc – tourniquets 560.78
BUREAU OF ANIMAL CARE & CONTROL
Adair, Thomas – training/consulting on new Petlogic software system 2,285.00
DEPT OF PUBLIC WORKS
American Public Works Association – annual membership 4,173.00
Zoresco Equipment Co – monthly rental of storage trailers 65.00
DEPT OF PARKS & RECREATION
Transdev Services Inc – Access transportation for Sr. Advisory Council
orientation 438.30
Allegheny County Health Department – food service permit (Woods Run library)
122.00
A motion was made that this matter be Approved. The motion carried.",NO_LEGISLATION,NO_HEADLINE,"**Section of meeting agenda:**
INVOICES FOR COUNCIL APPROVAL
The following departmental invoices not covered under a contract with the City
shall be paid by the City Controller after the invoices have been approved by City
Council at the April 23rd, 2025 Standing Committees meeting. A completed
standard form detailing the expenditures is attached to all of the below listed
invoices. No payments will be made to any of the below listed vendors prior the
approval of City Council.
CITY COUNCIL/ CITY CLERK
Marabello, Lori – reimbursement for event supplies and proc mailings (Dist. 2)
301.17
Pagan, Joyce – travel reimbursement (Dist. 3) 88.00
South Hills Memorial Day Parade Committee – sponsorship (Dist. 4) 250.00
Pittsburgh Parks Conservancy – donation for plaque at Frick (Dist. 5) 75.00
MAYOR'S OFFICE
Collier, Pamela – catering reimbursement for stakeholder's meeting 127.26
DEPT OF INNOVATION & PERFORMANCE
Compu-Site Technologies Inc – Data Center/NOC cleaning 2,935.00
Kaine, Marlaina – reimbursement for beverages for PGH Lab event 20.09
Rowden, Jacque – reimbursement for team lunch for new hires 89.51
CONTROLLER'S OFFICE
The Hunt Group – pension check paper 4,993.30
DEPT OF FINANCE
Coit Services – restoration carpet cleaning 750.00
The Master's Touch – specialty items for tax billing purposes 470.28
New Pittsburgh Courier – treasurers' sale advertising 4,584.20
OFFICE OF MUNICIPAL INVESTIGATIONS
Net Transcripts Inc – case interview transcriptions 751.17
PA State Police – criminal checks for police candidates 484.00
BUREAU OF EMERGENCY MEDICAL SERVICES
Harmony EMS – EMS coverage (Disturbed) 672.56
Kirwan Heights VFA EMS – EMS coverage (Pirates) 444.29
Municipal Emergency Services – Hurst eDraulic batteries 1,455.74
BUREAU OF POLICE
Golden Bone Pet Resort Inc – K9 boarding 1,980.00
Golden Bone Pet Resort Inc – K9 boarding 610.00
S&D Calibration Services – Accutrak certification 528.75
E-S Press – PMAP training for first responders (all bureaus) 4,900.00
Thick Bikes LLC – shift cable installation 79.49
Thick Bikes LLC – rim, tire, tune up 485.00
Witmer Associates Inc – tourniquets 560.78
BUREAU OF ANIMAL CARE & CONTROL
Adair, Thomas – training/consulting on new Petlogic software system 2,285.00
DEPT OF PUBLIC WORKS
American Public Works Association – annual membership 4,173.00
Zoresco Equipment Co – monthly rental of storage trailers 65.00
DEPT OF PARKS & RECREATION
Transdev Services Inc – Access transportation for Sr. Advisory Council
orientation 438.30
Allegheny County Health Department – food service permit (Woods Run library)
122.00
A motion was made that this matter be Approved. The motion carried.

**Section of meeting legislation:**
NO_LEGISLATION

**Section of meeting transcript:**
NO_TRANSCRIPT
","Council approves invoices totaling over $33,000 for city department expenses including K9 boarding, equipment, and employee reimbursements.","Council approves $34,217.89 in departmental spending.","City Council approves payment of departmental invoices totaling over $25,000"
"INTRA DEPARTMENTAL TRANSFERS
NONE",NO_LEGISLATION,NO_HEADLINE,NO_SEGMENT,NO_HEADLINE,NO_HEADLINE,NO_HEADLINE
"P-CARD APPROVALS
Item P-Cards
0015-2025
A motion was made that this matter be Approved. The motion carried.","Title
P-Cards",NO_HEADLINE,"**Section of meeting agenda:**
P-CARD APPROVALS
Item P-Cards
0015-2025
A motion was made that this matter be Approved. The motion carried.

**Section of meeting legislation:**
Title

P-Cards

Title

P-Cards



**Section of meeting transcript:**
That moves us on to P cards. Is there a motion on P cards? Motion to approve? Second Discussion: Seeing none. All those in favor of P cards, please indicate by saying aye, Aye, Aye, P cards are approved.
",Council approves P-card purchases for city operations.,City Council approves P-card transactions.,City Council approves P-Card payments
