manual_headline,claude_headline,gemini_headline,openai_headline
NO_HEADLINE,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,Council introduces legislation to clarify rules for posting residential parking permit signs.,Council refers ordinance clarifying residential parking permit signage rules to committee
NO_HEADLINE,Council refers resolution to expand South Side Flats residential permit parking area to committee.,Legislation introduced to expand residential permit parking in the South Side Flats.,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats
NO_HEADLINE,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,Pittsburgh Land Bank to acquire city-owned property on Reifert Street.,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost
"$40,000 Contract with Law Firm for “Immigration Matters” Authorized","Council refers $40,000 immigration legal services contract to Finance and Law Committee.","Resolution introduced to authorize a $40,000 contract for the City’s immigration legal services.","Council authorizes $40,000 contract for immigration legal services with Fragomen firm"
NO_HEADLINE,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,Proposal for six privately-funded bus shelters in Hazelwood sent to committee for review.,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city
NO_HEADLINE,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.,Council approves ordinance to increase paid sick leave accrual rates and maximum hours
City Receives State Funds for New Lighting Along Penn Ave in East Liberty,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.","Council accepts a $450,000 state grant for the Penn Avenue lighting project.","Council approves reduced $450,000 grant for Penn Avenue lighting project"
NO_HEADLINE,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.","Council approves an additional $115,170 for design work on Fort Pitt Park improvements.","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR"
NO_HEADLINE,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.","City to pay nearly $53,000 for annual Pennsylvania Municipal League subscription.","Council approves $52,962 payment for Pennsylvania Municipal League subscription"
NO_HEADLINE,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.","City to pay $72,500 for overdue 811 utility call debts.","City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts"
NO_HEADLINE,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property
NO_HEADLINE,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property
NO_HEADLINE,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.","City Council approves the sale of a URA-owned property on Island Avenue for $3,600.",Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC
NO_HEADLINE,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",City Council approves the sale of a URA-owned property on North Aiken Avenue to the Pittsburgh Land Bank.,"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500"
NO_HEADLINE,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property
