Headline 1,Headline 2
Council calls on Governor to provide state resources to help clean up Pittsburgh's trash and litter problem.,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"City Council will ask the governor for state help with litter after removing a ""state of emergency"" request."
City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council refers resolution to accept $37,000 grant for investigating old sexual assault cases to committee.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council introduces legislation to accept a $37,000 grant for investigating old sexual assault cases."
"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council refers resolution allowing Duquesne Light and Pittsburgh Water to install utility poles and wires on city property at no cost to committee.
Council to consider granting Duquesne Light and Pittsburgh Water access to city land for utility upgrades.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves sewage plan revision for new apartment development at 296 McKee Place at no cost to the city.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Council reviews a sewage plan update for a new apartment building on McKee Place.
Council adopts sewage plan revision for 296 McKee Place at no cost to the city,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
Council refers resolution to approve sewage plan for South Side townhome development to committee.,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,Council refers sewage plan for new South Side townhome development to committee.
Council adopts sewage plan revision for 215 South 21st Street at no cost to city,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"City Council considers allowing ALCOSAN to build underground tunnels through nine city properties for $8,200."
"City to be paid $8,200 for allowing ALCOSAN to build sewer tunnels under nine city properties.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"City approves easements for underground tunnels on nine city properties with $8,200 payment"
City Council refers resolution to transfer 14 properties in 12th Ward to Larimer Consensus Group to settle court cases.,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
City Council introduces legislation to transfer 14 properties to the Larimer Consensus Group to settle multiple lawsuits.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases
"Council authorizes city officials to apply for $250,000 state grant to help fund Emerald View Trail repairs.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council introduces a resolution to apply for a $250,000 state grant for the Emerald View Trail rehabilitation project."
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding"
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council refers resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,University of Pittsburgh would provide supplemental trash pickup in Oakland under a proposed agreement.
Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge lawsuit."
"City accepts $316,367 to settle lawsuit involving the Finland Street Pedestrian Bridge.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation"
Council approves three-year agreement with USI Insurance Services for city insurance brokerage services.,City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
City Council authorizes a no-cost agreement with USI Insurance Services for insurance brokerage services.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services"
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves $1.1 million increase for Liberty Avenue project using additional federal highway funding.
City Council approves over $1 million in new federal funding for improvements on Liberty Avenue.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council approves $32,750 contract for video production company to create police recruitment videos.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
"City Council approves $32,750 contract for police recruitment videos.",Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
"Council approves amended resolution to accept reduced $250,000 state grant for Smallman Street Complete Street Project.",City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"City Council accepts a $250,000 state grant for the Smallman Street project."
City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,Council approves $5.4 million increase for Liberty Avenue highway safety project costs.
City Council approves $5.4 million in additional funding for the Liberty Avenue safety project.,Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.
Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves additional $317,588 for South Negley Avenue Bridge Project, bringing total contract to $1.2 million."
Officials report fewer traffic deaths and new safety efforts in the first year of the Vision Zero program.,"Council approves a contract increase of more than $317,000 for the South Negley Avenue Bridge Project."
Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs
City reports decrease in traffic deaths to 17 in first year of Vision Zero safety program.,"Council approves $93,000 increase for Office of Community Health and Safety vehicles and equipment purchase."
