rank,label,headline,score_mu,score_sigma,score_95ci
1,C18,"Council approves $37,000 grant to investigate old sexual assault cases and create victim interview room.",33.79,2.12,4.16
2,C23,Council holds $1.5 million homeless shelter agreement with Auberle for five weeks due to federal approval delays.,31.78,1.95,3.82
3,M3,"$40,000 Contract with Law Firm for “Immigration Matters” Authorized",30.63,1.91,3.74
4,C3,"Council refers $40,000 immigration legal services contract to Finance and Law Committee.",29.79,1.76,3.45
5,M6,City Receives State Funds for New Lighting Along Penn Ave in East Liberty,29.65,1.65,3.24
6,C6,"Council approves reduced $450,000 state grant for Penn Avenue lighting project.",29.5,1.67,3.27
7,C4,Council approves agreement for six new bus shelters in Hazelwood at no cost to the city.,29.38,1.58,3.09
8,C7,"Council approves $115,170 increase for Fort Pitt Park design services, bringing total cost to $415,170.",28.37,1.69,3.32
9,M18,Untested Sexual Assault Kits to Be Processed,27.99,1.68,3.3
10,C5,Council member Lavelle introduces ordinance to increase paid sick leave accrual rates and maximum hours for Pittsburgh employees.,27.93,1.61,3.15
11,C15,Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.,27.24,1.63,3.19
12,C17,Council approves sale of 14 city-owned lots in 12th Ward to Larimer Consensus Group to settle court cases.,26.94,1.56,3.05
13,C20,Council holds resolution for University of Pittsburgh to provide free supplemental waste services in Oakland neighborhood.,26.26,1.6,3.13
14,C0,Council introduces ordinance to clarify parking permit sign posting rules in residential areas.,25.56,1.58,3.09
15,C14,Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.,25.44,1.62,3.18
16,C25,Council approves sewage plan revision for South Side townhome development at no cost to the city.,25.43,1.59,3.11
17,M23,Proposed July 2024 Contract for Shelter Services Held Another Five Weeks,25.13,1.65,3.23
18,C19,"Council approves city's application for $250,000 state grant to fix Emerald View Trail.",25.11,1.57,3.08
19,C8,"Council approves $52,962 payment for one-year Pennsylvania Municipal League subscription.",25.02,1.61,3.15
20,C26,"Council approves $8,200 deal to let ALCOSAN build underground tunnels through nine city-owned properties.",24.57,1.57,3.08
21,C9,"City Council approves $72,500 payment to state utility commission for overdue damage prevention call fees.",23.96,1.6,3.13
22,C12,"Council approves sale of city land on Island Avenue to Island Avenue Holdings for $3,600.",23.53,1.63,3.2
23,C2,Council refers resolution to transfer city property on Reifert Street to Pittsburgh Land Bank for $1.,22.87,1.5,2.94
24,M16,Council Reopens Discussion of the Process to Purchase City Property After a Rescinded Sale,22.74,1.68,3.28
25,C13,"Council approves sale of city land on N Aiken Avenue to Pittsburgh Land Bank for $48,500.",22.53,1.61,3.16
26,C16,"Council approves refunding $4,000 deposit to buyer who backed out of deteriorated city property sale.",22.49,1.69,3.31
27,C1,Council refers resolution to expand South Side Flats residential permit parking area to committee.,22.05,1.69,3.31
28,C24,Council approves sewer plan for McKee Place apartment development after correcting zip code error.,21.57,1.75,3.43
29,C10,Council repeals 2019 resolution that gave redevelopment authority rights to acquire 15th Ward property.,20.99,1.64,3.21
30,C21,Council committee approves changes to residential parking permit signage rules.,19.38,1.78,3.49
31,C22,Council approves expansion of residential permit parking program in South Side Flats.,19.27,1.78,3.49
32,C11,"Council approves sale of two lots on Erin Street to Pittsburgh Land Bank for $16,290.",18.4,1.83,3.58
