item,link,text
2025-1667,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7269904&GUID=A88FC65B-1E62-4982-A828-D8FBBCB82A28&Options=&Search=,"title
Resolution authorizing the issuance of a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a warrant in favor of Mohammed Burny for tuition reimbursement for an amount not to exceed THIRTY-THREE THOUSAND TWO HUNDRED NINETY-TWO DOLLARS ($33,292.00) over one year, charging and payable from 11101.101100.52.52602.2025."
2025-1675,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7271136&GUID=36D02149-A08B-4D6D-A09C-CAF0FDD3EFEF&Options=&Search=,"title
Resolution providing for the sale of certain property, in the 23rd Ward, in the First (1st) Council District of the City of Pittsburgh, acquired by the City of Pittsburgh at tax sale.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The City Solicitor is hereby authorized to petition the Court of Common Pleas of Allegheny County for the sale of the following property, acquired at tax sale in accordance with Act No. 171 of 1984.  The advertisement of sale and deed to contain a stipulation that the property is being sold subject to all zoning, building and subdivision laws and ordinances, and the cost of the Court proceedings to be paid from Special Trust Fund, Three Taxing Bodies.  Any and All properties contained in this Resolution may be the subject of advertising for sale by the Finance Department.
  East Side Property c/o Linda Handley
PURCHASE PRICE: Three Thousand Seven Hundred Fifty-five Dollars and No Cents ($3,755.00)
Green Space & Parking - Residential
LOT: 22.60 X AVG 69.68
LOCATION: 0 Itin Street (COUNCIL DISTRICT: 1)
ACQUIRED: December 18, 2020 T/S# 106
WARD: 23 BLOCK & LOT: 24-F-44
COUNCIL DISTRICT: 1
  Section 2.                     Any Resolutions or Ordinances inconsistent with the provisions of this Resolution are hereby repealed to the extent of the conflict or inconsistency."
2025-1691,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7285467&GUID=D4919C3D-3EB2-4067-82D8-21815370617A&Options=&Search=,"title
Resolution transferring the amount of thirty-three thousand two hundred ninety-two dollars ($33,292.00) within the 2025 Operating Budget from City Council Districts Salaries & Wages, Regular to City Council Districts Employee Benefits for the purpose of tuition reimbursement.
  body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Controller and the Office of Management and Budget are hereby authorized and directed to transfer a total of thirty-three thousand two hundred ninety-two dollars ($33,292.00)
  From:
City Council Districts Salaries & Wages, Regular, JDE Account Number 11101.101100.51.51101.2025, subledger D1
  To:
City Council Districts Employee Benefits, JDE Account Number 11101.101100.52.52602.2025"
2025-1728,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300863&GUID=C9B601B3-FA5A-44CA-9B15-F850D84E44E8&Options=&Search=,"Title
Resolution authorizing the Mayor and the City Solicitor to enter into a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, for professional services in connection with immigration matters.
(Executive Session held 4/15/25)
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor is hereby authorized to issue and the City Controller to countersign a Professional Services Agreement with Fragomen, Del Rey, Bernsen & Loewy, LLP, in an amount not to exceed FORTY THOUSAND DOLLARS AND ZERO CENTS ($40,000.00) over one year, charging and payable from 11101.108000.53.53517.2025.
  Section 2.                     Said Agreement or Agreements shall be in a from approved by the City Solicitor."
2025-1736,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300871&GUID=6642B7D1-BF87-4365-B477-257CC512A1CF&Options=&Search=,"Title
Ordinance amending the Pittsburgh Code at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time, so as to change the rate at which employees can accumulate paid sick leave hours, and increase the maximum total amount of paid sick leave hours that can be accumulated.
(Public Hearing held 5/28/25)
  Body
The Council of the City of Pittsburgh hereby enacts as follows:
Section 1.                     The Pittsburgh Code is hereby amended at Title Six: Conduct, Article I: Regulated Rights and Actions, Chapter 626: Paid Sick Days Act, Section 626.03: Accrual of Sick Time as follows:
  § 626.03 ACCRUAL OF SICK TIME.
(a)                     All employees shall have the right to sick time established herein.
(b)                                          All employees of employers with fifteen (15) or more employees shall accrue a minimum of one (1) hour of paid sick time for every thirty (30) hours worked in Pittsburgh unless the employer provides a faster accrual rate.
(1)                                          Employees of employers with fifteen (15) or more employees shall be permitted to accrue no more than seventy-two (72) hours of paid sick time in a calendar year, unless the employer designates a higher amount.
(a)                     At no point shall an employee of an employer with fifteen (15) or more employees be permitted
to have access to more than seventy-two (72) hours of paid sick time, unless the employer designates a higher amount.
(c)                                          All employees of employers with fewer than fifteen (15) employees shall accrue a minimum of one (1) hour of sick time for every thirty (30) hours worked in Pittsburgh, unless the employer provides a faster accrual rate.
  (1)                                          Employees of employers with fewer than fifteen (15) employees shall be permitted to accrue no more than forty-eight (48) hours of paid sick time, unless the employer designates a higher amount.
(a)                     At no point shall an employee of an employer with fewer than fifteen (15) employees be permitted to have access to more than forty-eight (48) hours of paid sick time, unless an employer designates a higher amount.
(d)                                          Employees who are exempt from overtime requirements under 29 U.S.C. § 213(a)(1) of the Federal Fair Labor Standards Act will be assumed to work forty (40) hours in each workweek for purposes of sick time accrual, unless their normal workweek is less than forty (40) hours, in which case sick time accrues based upon that normal workweek.
(e)                                          The accrual of sick time, as provided in this Chapter, shall begin on the effective date of this Chapter, as to an employee who is employed as of such effective date. All employees who become employed after such effective date shall begin to accrue paid sick time at the commencement of their employment.
(f)                                          All employees shall be entitled to use accrued sick time beginning on the ninetieth calendar day following the commencement of their employment.
(g)                     Accrued sick time shall be carried over to the following calendar year, except when:
(1)                                          An employer that employs fifteen (15) or more employees provides at least seventy-two (72) hours of paid sick time at the beginning of each calendar year; or
(2)                     An employer that employs fewer than fifteen (15) employees provides at least
forty-eight (48) hours of paid sick time at the beginning of each calendar year.
(h)                                          An employer is not obligated to provide financial or other reimbursement to an employee upon the employee's termination, resignation, retirement, or other separation from employment for unused sick time that has been accrued.
(i)                                          If an employee is transferred to a separate division, entity or location, but remains employed by the same employer, the employee is entitled to all sick time accrued at the prior division, entity or location and is entitled to use all sick time as provided in this Section.
(1)                                          When there is a separation from employment and the employee is rehired within six (6) months of separation by the same employer, previously accrued paid sick time that had not been used shall be reinstated.
(a)                     The employee shall be entitled to use accrued paid sick time and accrue additional paid sick time at the recommencement of employment.
(j)                                          At its discretion, the employer may loan sick time to the employee in advance of accrual by such employee.
(k)                                          When a different employer succeeds or takes the place of an existing employer, all employees of the original employer who remain employed by the successor employer are entitled to all earned sick time accrued when employed by the original employer and are entitled to use all earned sick time previously accrued.
(l)                                          Any employer with a paid leave policy, such as a paid time off policy, who makes available an amount of paid leave sufficient to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.
(m)                                          Any employer with a collective bargaining agreement that makes available a sufficient amount of paid leave to meet the accrual requirements of this Section that may be used for the same purposes and under the same conditions as sick time under this Chapter is not required to provide additional sick time.
  Section 2.
   (A) The amendments of this Ordinance shall take effect on January 1st, 2026."
0015-2025,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7350879&GUID=A468F435-4DB2-4601-9139-2853CD5497F8&Options=&Search=,"Title
P-Cards"
2025-1713,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292395&GUID=743C4E72-2949-4195-8ED6-C935FE827979&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement(s) and/or Amendment(s) with the University of Pittsburgh, for the purpose of providing supplemental waste operations in the Oakland neighborhood, at no cost to the City.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with the University of Pittsburgh, for the purpose improving waste operations in the Oakland neighborhood which is significantly impacted periodically by the university’s increased tonnages of waste during student move in, student move out, and holiday break, by providing supplemental waste operations, at no cost to the City.
  Section 2.                     Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
2025-1713,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7292395&GUID=743C4E72-2949-4195-8ED6-C935FE827979&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement(s) and/or Amendment(s) with the University of Pittsburgh, for the purpose of providing supplemental waste operations in the Oakland neighborhood, at no cost to the City.
  Body
Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with the University of Pittsburgh, for the purpose improving waste operations in the Oakland neighborhood which is significantly impacted periodically by the university’s increased tonnages of waste during student move in, student move out, and holiday break, by providing supplemental waste operations, at no cost to the City.
  Section 2.                     Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
2025-1729,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7300864&GUID=EA7746E4-1D50-4234-A2FE-55C7BE5F3346&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, to enter into an ownership and maintenance agreement with Almono, LP for six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the city.
  Body
WHEREAS, Almono, LP, and the City’s Department of Mobility and Infrastructure seek to facilitate creation of new bus shelters in the City located on Second Avenue and Blair Street; and
  WHEREAS, Almono, LP, will design, construct, own, and maintain the new bus shelters for a designated period of time, subject to further extensions; and
  WHEREAS, the City’s Department of Mobility and Infrastructure has approved the location and placement of the new bus shelters; and
  WHEREAS, the City and Almono, LP, wish to enter into an ownership and maintenance agreement to memorialize terms and conditions concerning the new bus shelters.
    Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1.                     The Mayor and the Director of the Department of Mobility and Infrastructure, on behalf of the City of Pittsburgh, are authorized to enter into an ownership and maintenance agreement with Almono, LP concerning six bus shelters to be constructed along Second Avenue and Blair Street in the Hazelwood neighborhood, at no cost to the City."
2025-1746,https://pittsburgh.legistar.com/LegislationDetail.aspx?ID=7318242&GUID=28603CC7-A79F-49A8-B268-EC8AB7F1AB1B&Options=&Search=,"Title
Resolution authorizing the Mayor and the Director of the Department of Public Works to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh Ball Hockey (“Team Pittsburgh”) for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Body
WHEREAS, LiveBarn is a sports streaming network which offers amateur and youth sports broadcasting through their equipment and software; and
  WHEREAS, Team Pittsburgh seeks to live-stream ball hockey games based at Marmaduke Park, located at 3915 Oswald St, Pittsburgh, PA 15212.
  Be it resolved by the Council of the City of Pittsburgh as follows:
  Section 1. The Mayor and the Director of the Department of Public Works are hereby authorized to enter into an Agreement, Agreements, and/or Amendments with LiveBarn and/or with Team Pittsburgh for the purpose of Team Pittsburgh live-streaming dek hockey games held at the Dek Hockey Rink in Marmaduke Park, at no cost to the City.
  Section 2. Said Agreement, Agreements, and/or Amendments shall be approved by the City Solicitor as to form."
