rank,label,headline,score_mu,score_sigma,score_95ci
1,O5,Council approves ordinance to increase paid sick leave accrual rates and maximum hours,43.27,2.94,5.76
2,O23,Council holds resolution to fund non-congregate shelter services with Auberle for five weeks,41.39,2.57,5.03
3,O15,Council approves public hearing to address citywide trash problem,40.09,2.53,4.96
4,O18,"Council approves $37,000 grant agreement to support sexual assault case investigations and improve police interview rooms",38.3,2.53,4.96
5,O17,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle legal cases,35.67,2.4,4.7
6,O3,"Council authorizes $40,000 contract for immigration legal services with Fragomen firm",34.93,2.43,4.76
7,O10,Council repeals 2019 resolution allowing Urban Redevelopment Authority to acquire 15th Ward property,33.07,2.29,4.49
8,O19,"Council approves grant application for $250,000 to help rehabilitate Emerald View Trail with city matching funds",32.69,2.36,4.63
9,O26,"City Council approves easements for ALCOSAN tunnels on nine city-owned parcels for $8,200 payment",31.59,2.31,4.52
10,O6,"Council approves reduced $450,000 grant for Penn Avenue lighting project",30.66,2.33,4.57
11,O11,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,30.26,2.31,4.52
12,O4,Council authorizes agreement with Almono LP for six new bus shelters in Hazelwood at no cost to city,28.03,2.29,4.49
13,O13,"Council approves sale of land in 11th Ward to Pittsburgh Land Bank for $48,500",25.33,2.31,4.53
14,O1,Council waives rules to advance expansion of Residential Permit Parking Area KK in South Side Flats,25.1,2.34,4.6
15,O12,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,23.59,2.38,4.67
16,O2,Council authorizes Pittsburgh Land Bank to acquire city property at 219 Reifert Street at no cost,23.38,2.35,4.61
17,O14,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility poles and landscaping on city property,23.25,2.31,4.53
18,O9,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",23.07,2.35,4.61
19,O22,Council approves expansion of Residential Permit Parking Program Area KK in South Side Flats,19.22,2.25,4.41
20,O20,Council holds resolution on waste operations agreement with University of Pittsburgh for one week,18.88,2.24,4.39
21,O25,Council approves sewage plan revision for 215 South 21st Street development at no cost to city,16.7,2.41,4.71
22,O7,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",15.79,2.58,5.05
23,O21,Council approves ordinance clarifying residential parking permit signage rules,13.48,2.41,4.72
24,O0,Council refers ordinance clarifying residential parking permit signage rules to committee,12.28,3.01,5.89
25,O24,Council approves amended sewage plan revision for 296 McKee Place with corrected zip code,12.23,2.47,4.85
26,O16,Council approves resolution to rescind sale and refund hand money for 136 Bodkin Street property,10.44,2.77,5.43
27,O8,"Council approves $52,962 payment for Pennsylvania Municipal League subscription",6.76,3.24,6.35
