"DataPoint_ID","Task_Group_ID","Task_Type","Question","Headline 1","Headline 2","Annotator1_ID","Annotator1_Response","Annotator1_Timestamp"
"01983397-7f26-753f-8825-eb04b3673a95","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Pittsburgh Land Bank to acquire city-owned property on Reifert Street.","Council Reopens Discussion of the Process to Purchase City Property After a Rescinded Sale","674c8549a9fd90b7c8dda9d3","Headline 1","2025-07-22T19:35:31.674Z"
"01983396-f528-74de-9196-f6f72833a45e","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council refers $40,000 immigration legal services contract to Finance and Law Committee.","Council approves city's application for $250,000 state grant to fix Emerald View Trail.","674c8549a9fd90b7c8dda9d3","Headline 1","2025-07-22T19:35:31.674Z"
"01983397-4b37-7596-86f6-204a17de5aac","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council recommends a sewage plan update for a new townhome development on the South Side.","City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.","674c8549a9fd90b7c8dda9d3","Headline 2","2025-07-22T19:35:31.673Z"
"01983397-4b9a-7334-baa9-ec076544f077","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","City grants Duquesne Light and Pittsburgh Water a right-of-way for a utility project on public land.","City to grant ALCOSAN easements for underground tunnels in exchange for $8,200.","674c8549a9fd90b7c8dda9d3","Headline 2","2025-07-22T19:35:31.674Z"
"01983396-cd8a-769a-8a99-f3fc6ce1e646","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR","Council refers ordinance clarifying residential parking permit signage rules to committee","674c8549a9fd90b7c8dda9d3","Headline 2","2025-07-22T19:35:31.673Z"
"01983397-8f01-7185-b84e-ad3a451f0391","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Untested Sexual Assault Kits to Be Processed","Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.","674c8549a9fd90b7c8dda9d3","Headline 1","2025-07-22T19:35:31.673Z"
"01983397-4746-76cd-addb-c98c80b8c331","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council approves easement agreements allowing Duquesne Light Company and Pittsburgh Water to install utility poles and equipment on city property at no cost to the city.","Council approves public hearing on Pittsburgh's trash problems after residents share ideas for solutions.","674c8549a9fd90b7c8dda9d3","Headline 2","2025-07-22T19:35:31.674Z"
"01983397-3962-748c-af72-5433f7e5b108","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council approves expanding the residential permit parking area in the South Side Flats.","Council approves the sale of two Hill District lots from the Urban Redevelopment Authority to the Land Bank.","674c8549a9fd90b7c8dda9d3","Headline 2","2025-07-22T19:35:31.674Z"
"01983397-6744-7467-aa8b-aa5c8b0507cd","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council approves sewage plan revision for 215 South 21st Street development at no cost to city","Council approves amended sewage plan revision for 296 McKee Place with corrected zip code","674c8549a9fd90b7c8dda9d3","Headline 1","2025-07-22T19:35:31.674Z"
"01983397-05ce-71bd-9b24-e2bbfb4b6826","0b523bb0-729d-5714-b622-6af33c8a7bf1","multiple_choice","Which headline do you have a stronger opinion about?","Council introduces legislation to increase paid sick leave hours for Pittsburgh employees.","City Council approves the Urban Redevelopment Authority’s decision to give up a city-owned property.","674c8549a9fd90b7c8dda9d3","Headline 1","2025-07-22T19:35:31.674Z"
