rank,label,headline,score_mu,score_sigma,score_95ci
1,O2,"Council authorizes agreement to receive $37,000 grant for sexual assault case investigations and police training",31.19,1.67,3.27
2,O15,Council approves $5.4 million increase for Liberty Ave Highway Safety Improvement Program,30.28,1.62,3.18
3,O8,"Council authorizes application for $250,000 grant to rehabilitate Emerald View Trail with city match funding",29.51,1.68,3.28
4,O10,"City Council approves $316,367 settlement for Finland Street Pedestrian Bridge litigation",29.4,1.69,3.31
5,O12,Council approves $1.06 million increase in Liberty Avenue project budget with federal funding,28.92,1.63,3.19
6,O18,"City Council approves increased reimbursement of $992,628.77 to Pittsburgh Water for Haverhill Project costs",28.54,1.57,3.07
7,O9,Council approves agreement with University of Pittsburgh for free supplemental waste services in Oakland neighborhood,28.33,1.6,3.14
8,O29,"City Council approves $72,500 payment to Pennsylvania Public Utility Commission for 811 damage prevention debts",27.84,1.6,3.13
9,O17,"Council approves $93,000 increase for vehicle and equipment purchases for Community Health and Safety office",27.14,1.49,2.92
10,O27,City Council approves easement agreements with Duquesne Light and Pittsburgh Water for utility installations and landscaping at no cost to the City,26.82,1.51,2.96
11,O1,City Council urges Governor to support cleanup efforts by supplementing resources to address Pittsburgh’s litter problem,26.61,1.48,2.91
12,O5,Council adopts sewage plan revision for 215 South 21st Street at no cost to city,26.52,1.59,3.12
13,O16,Council approves $1.19 million supplemental agreement with WSP USA for South Negley Avenue Bridge Project,26.35,1.59,3.11
14,O13,"City Council approves $32,750 contract with Kicker Inc. for police recruitment videos",26.33,1.55,3.03
15,O25,"Council approves reduced $450,000 grant for Penn Avenue Lighting project in East Liberty",25.94,1.52,2.97
16,O4,Council adopts sewage plan revision for 296 McKee Place at no cost to the city,25.77,1.52,2.98
17,O3,Council approves easement agreements with Duquesne Light and Pittsburgh Water for pole installation and landscaping at no cost to the City,25.71,1.56,3.05
18,O19,City Council approves agreement with PennDOT for exchange of in-kind services at no cost to city,25.39,1.51,2.96
19,O6,"City approves easements for underground tunnels on nine city properties with $8,200 payment",25.33,1.5,2.94
20,O23,"Council holds resolution to transfer $33,292 for tuition reimbursement for two weeks",23.69,1.51,2.97
21,O0,City Council reviews Vision Zero annual memo highlighting progress on traffic safety and new enforcement programs,23.52,1.54,3.03
22,O7,City Council approves sale of 12th Ward properties to Larimer Consensus Group to settle court cases,23.35,1.53,3.0
23,O14,Council approves amended grant agreement for Smallman Street Complete Street Project with reduced funding,23.1,1.5,2.94
24,O30,Council approves repeal of 2019 resolution allowing Urban Redevelopment Authority to acquire city property in 15th Ward,22.91,1.5,2.93
25,O11,"Council approves no-cost, three-year insurance brokerage agreement with USI Insurance Services",22.87,1.58,3.09
26,O28,"Council approves $52,962 subscription payment to Pennsylvania Municipal League",22.47,1.67,3.28
27,O21,Council holds tuition reimbursement payment for Mohammed Burny for further review,22.24,1.44,2.83
28,O26,"City Council approves $115,170 increase for Fort Pitt Park Phase 1 design services with Pashek + MTR",22.15,1.56,3.05
29,O20,Council holds resolution to rescind 2022 property sale for one week,21.93,1.53,3.0
30,O31,Council approves land sale contract between URA and Pittsburgh Land Bank for 5th Ward property,21.38,1.67,3.28
31,O33,Council approves sale of land on North Aiken Avenue to Pittsburgh Land Bank,21.26,1.55,3.03
32,O24,Council holds decision on EMS student training agreement with Community College of Allegheny County,21.21,1.53,3.0
33,O22,City Council holds resolution on sale of 23rd Ward property for two weeks,19.99,1.61,3.16
34,O32,Council approves sale of city land on Island Avenue to Island Avenue Holdings LLC,18.9,1.68,3.3
