sentence,classification
"Good morning and welcome to the regular meeting of City Council for Tuesday, April 15 2025.",b
The President and President Pro Tem of Pittsburgh City Council are both unable to attend this morning's meeting.,i
"Therefore, under Rule 5.",i
"1 in the Rules of Council, the Clerk shall first take a roll call and then the members shall elect a temporary President Pro Tem to preside over the meeting.",i
Can a Clerk please take the roll?,b
Mr Sharland Here.,i
Mr Coghill Here.,i
Ms Gross Here Mr Mosley Here Mrs Kale-Smith Here.,i
"Mrs Strasburger Here Mrs Warwick, Here Mr Wilson, Here Mr LaVelle.",i
"President, Five members present.",i
The floor is now open to Council to elect their temporary President Pro Tem.,b
Motion to nominate Councilwoman Strasburger as the temporary Pro Tem.,i
Second Councilperson Strasburger will now take over as President Pro Tem.,i
"Thank you, Good morning and welcome to the regular meeting of the City Council, Tuesday, April 15 2025.",b
Please rise for the Pledge of Allegiance and remain standing for a moment of silence.,b
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible with liberty and justice for all.",i
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i
"I pledge allegiance to the flag of the United States of America and to the Republic for which it stands: one nation under God, indivisible, with liberty and justice for all.",i
You may be seated.,i
You may be seated.,i
Our next order of business is to amend the agenda.,b
Our next order of business is to amend the agenda.,i
Is there a motion to amend the agenda?,i
So moved Second.,i
All those in favor: Aye.,i
buzzing Councilman Mosley.,b
Councilman Mosley presents.,i
"be it further resolved that the Council of the City of Pittsburgh does hereby declare Friday, May 2 2025 to be Bessie Lee Harris Day in the City of Pittsburgh.",b
Is there a motion to approve?,i
So moved.,i
Second.,i
All in favor: Aye.,i
Those opposed: vote no.,i
"Aye, Aye.",i
Proclamation is approved.,i
The next order of business is public comment.,p
"I would like to remind everyone that the rules of council state that comments are limited to matters of concern, official action or deliberation which may be before city council.",i
Profanity will not be permitted.,i
"When you are called to speak, please state your name and neighborhood for the record.",i
You will have three minutes to speak.,i
Our first registered speaker is Dr Ronald M Miller.,p
