rank,label,headline,score_mu,score_sigma,score_95ci
1,G25,Legislation to increase paid sick days for workers advances to a public hearing.,42.94,2.24,4.38
2,G0,Pittsburgh Water pauses four flood mitigation projects to prioritize funding for mandated system-wide repairs.,42.57,3.36,6.59
3,G19,City grants ALCOSAN underground land access for a major sewer project.,42.4,2.24,4.39
4,G21,Council hears conflicting public testimony on a bill to reduce minimum lot sizes for homes.,40.83,2.21,4.33
5,G24,"City approves $40,000 contract for immigration legal services.",39.57,2.2,4.32
6,G20,Council schedules hearing on aging public safety vehicles.,37.48,2.14,4.19
7,G13,"$37,000 grant approved for old sexual assault case investigations.",36.71,2.12,4.16
8,G27,Six new bus shelters will be built in Hazelwood at no cost to the city.,34.65,2.12,4.16
9,G12,"Council approves sale of 14 city-owned lots in Larimer for $26,677.",33.94,1.98,3.88
10,G17,Council approves sewer connection for new Walnut McKee Apartments.,33.35,1.96,3.85
11,G26,University of Pittsburgh to fund up to 15 additional city trash collections in Oakland.,32.39,1.98,3.88
12,G18,Council approves sewer plan for new Josephine Street Townhomes.,31.29,2.06,4.04
13,G2,City's official sewage plan to be updated for new Hermitage Street development.,30.4,2.31,4.54
14,G16,More streets in the South Side Flats added to residential permit parking zone.,30.25,2.03,3.99
15,G15,New ordinance clarifies which streets and at what times residential parking permits will be enforced.,30.1,2.0,3.93
16,G14,"City to apply for $250,000 state grant for Emerald View Trail rehabilitation.",27.92,2.06,4.04
17,G8,Proposed ordinance would allow residents to create native plant gardens.,26.29,2.03,3.98
18,G11,City Council rescinds sale of 136 Bodkin Street.,25.16,2.14,4.19
19,G9,Council designates Donny's Place historic over owner and commission objections.,24.57,2.15,4.22
20,G6,City seeks temporary construction easements for the Smithfield Street repair project.,23.71,2.06,4.05
21,G5,Council proposes eleven contracts with five vendors for on-call special events services.,21.71,2.13,4.17
22,G29,The Pittsburgh Land Bank will acquire a city property at 219 Reifert Street.,20.2,2.36,4.63
23,G22,Council holds proposed sale of Itin Street property for one week.,18.88,2.4,4.71
24,G7,Riverlife proposes connecting a public programming barge to the Allegheny Landing Dock.,18.61,2.3,4.51
25,G23,"$33,292 transfer for council staff tuition reimbursement is held for six weeks.",16.0,2.55,5.0
26,G3,"Legislation to transfer $10,000 from Council salaries to the City Clerk was not introduced.",15.34,2.46,4.82
27,G10,City proposes loaning the Stephen Foster statue to the Museum of Contemporary Art.,14.24,2.7,5.29
28,G4,"City to pay New Pittsburgh Courier $6,158.30 for legal advertisements.",11.16,3.1,6.08
29,G1,Council introduces legislation to allow live-streaming of dek hockey games at Marmaduke Park.,9.53,2.87,5.63
30,G28,Dek hockey games at Marmaduke Park will be live-streamed at no cost to the city.,8.98,2.97,5.82
